"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
248,0,0,0,0,0,0,0,20230422,20240420
249,1,1,1,1,1,1,0,20230422,20240420
250,1,1,1,1,1,1,1,20230422,20240420
251,1,1,1,1,0,1,1,20230422,20240420
252,0,0,0,0,0,1,1,20230422,20240420
253,0,0,0,0,0,0,0,20230422,20240420
254,1,1,1,1,1,1,1,20230422,20240420
255,1,1,1,1,1,1,1,20230422,20240420
256,1,1,1,1,1,1,1,20230422,20240420
257,0,0,0,0,0,0,0,20230422,20240420
258,0,0,0,0,0,0,0,20230422,20240420
259,0,0,0,0,0,0,0,20230422,20240420
260,0,0,0,0,0,0,0,20230422,20240420
261,0,0,0,0,0,0,0,20230422,20240420
262,0,0,0,0,0,0,0,20230422,20240420
263,0,0,0,0,0,0,0,20230422,20240420
264,0,0,0,0,0,0,0,20230422,20240420
265,0,0,0,0,0,0,0,20230422,20240420
266,0,0,0,0,0,0,0,20230422,20240420
267,0,0,0,0,0,0,0,20230422,20240420
268,0,0,0,0,0,0,0,20230422,20240420
269,0,0,0,0,0,0,0,20230422,20240420
270,0,0,0,0,0,0,0,20230422,20240420
271,0,0,0,0,0,0,0,20230422,20240420
272,0,0,0,0,0,0,0,20230422,20240420
273,0,0,0,0,0,0,0,20230422,20240420
274,0,0,0,0,0,0,0,20230422,20240420
275,0,0,0,0,0,0,0,20230422,20240420
276,0,0,0,0,0,0,0,20230422,20240420
277,0,0,0,0,0,0,0,20230422,20240420
278,0,0,0,0,0,0,0,20230422,20240420
279,0,0,0,0,0,0,0,20230422,20240420
280,0,0,0,0,0,0,0,20230422,20240420
281,0,0,0,0,0,0,0,20230422,20240420
282,0,0,0,0,0,0,0,20230422,20240420
283,0,0,0,0,0,0,0,20230422,20240420
284,0,0,0,0,0,0,0,20230422,20240420
285,0,0,0,0,0,0,0,20230422,20240420
286,0,0,0,0,0,0,0,20230422,20240420
287,0,0,0,0,0,0,0,20230422,20240420
288,0,0,0,0,0,0,0,20230422,20240420
289,0,0,0,0,0,0,0,20230422,20240420
290,0,0,0,0,0,0,0,20230422,20240420
291,0,0,0,0,0,0,0,20230422,20240420
292,0,0,0,0,0,0,0,20230422,20240420
293,0,0,0,0,0,0,0,20230422,20240420
294,0,0,0,0,0,0,0,20230422,20240420
295,0,0,0,0,0,0,0,20230422,20240420
296,0,0,0,0,0,0,0,20230422,20240420
297,0,0,0,0,0,0,0,20230422,20240420
298,0,0,0,0,0,0,0,20230422,20240420
299,0,0,0,0,0,0,0,20230422,20240420
300,0,0,0,0,0,0,0,20230422,20240420
301,0,0,0,0,0,0,0,20230422,20240420
302,0,0,0,0,0,0,0,20230422,20240420
303,0,0,0,0,0,0,0,20230422,20240420
304,0,0,0,0,0,0,0,20230422,20240420
305,0,0,0,0,0,0,0,20230422,20240420
306,0,0,0,0,0,0,0,20230422,20240420
307,0,0,0,0,0,0,0,20230422,20240420
308,0,0,0,0,0,0,0,20230422,20240420
309,0,0,0,0,0,0,0,20230422,20240420
310,0,0,0,0,0,0,0,20230422,20240420
311,0,0,0,0,0,0,0,20230422,20240420
312,0,0,0,0,0,0,0,20230422,20240420
313,0,0,0,0,0,0,0,20230422,20240420
314,0,0,0,0,0,0,0,20230422,20240420
315,0,0,0,0,0,0,0,20230422,20240420
316,0,0,0,0,0,0,0,20230422,20240420
317,0,0,0,0,0,0,0,20230422,20240420
318,0,0,0,0,0,0,0,20230422,20240420
319,0,0,0,0,0,0,0,20230422,20240420
320,0,0,0,0,0,0,0,20230422,20240420
321,0,0,0,0,0,0,0,20230422,20240420
322,0,0,0,0,0,0,0,20230422,20240420
323,0,0,0,0,0,0,0,20230422,20240420
324,0,0,0,0,0,0,0,20230422,20240420
325,0,0,0,0,0,0,0,20230422,20240420
326,0,0,0,0,0,0,0,20230422,20240420
327,1,1,1,1,1,0,1,20230422,20240420
328,0,0,0,0,0,0,0,20230422,20240420
329,0,0,0,0,0,0,0,20230422,20240420
330,0,0,0,0,0,0,0,20230422,20240420
331,0,0,0,0,0,0,0,20230422,20240420
332,0,0,0,0,0,0,0,20230422,20240420
333,0,0,0,0,0,0,0,20230422,20240420
334,0,0,0,0,0,0,0,20230422,20240420
335,0,0,0,0,0,0,0,20230422,20240420
336,0,0,0,0,0,0,0,20230422,20240420
337,0,0,0,0,0,0,0,20230422,20240420
338,0,0,0,0,0,0,0,20230422,20240420
339,0,0,0,0,0,0,0,20230422,20240420
340,0,0,0,0,0,0,0,20230422,20240420
341,0,0,0,0,0,0,0,20230422,20240420
342,0,0,0,0,0,0,0,20230422,20240420
343,0,0,0,0,0,0,0,20230422,20240420
